en,fr,de,es,it,kana,ko
Zoom Lenses,Lentilles Zoom,Zoomlinsen,Telescopios,Zoomlenti,フォーカスレンズ,포커스렌즈
Metronomes,Métronomes,Metronome,Metrónomos,Plessimetri,メトロノーム,메트로놈
Iron Balls,Balles Fer,Eisenkugeln,Bolas Férreas,Ferropalle,くろいてっきゅう,검은철구
Lagging Tails,Ralentiqueues,Schwerschweife,Colas Plúmbeas,Rallentocode,こうこうのしっぽ,느림보꼬리
Destiny Knots,Nœuds Destin,Fatumknoten,Lazos Destino,Destincomune,あかいいと,빨간실
Black Sludges,Boues Noires,Giftschleime,Lodos Negros,Fangopece,くろいヘドロ,검은진흙
Icy Rocks,Roches Glace,Eisbrocken,Rocas Heladas,Roccefredde,つめたいいわ,차가운바위
Smooth Rocks,Roches Lisses,Glattbrocken,Rocas Suaves,Roccelisce,さらさらいわ,보송보송바위
Heat Rocks,Roches Chaudes,Heißbrocken,Rocas Calor,Roccecalde,あついいわ,뜨거운바위
Damp Rocks,Roches Humides,Nassbrocken,Rocas Lluvia,Rocceumide,しめったいわ,축축한바위
Grip Claws,Accro Griffes,Griffklauen,Garras Garfio,Presartigli,ねばりのかぎづめ,끈기갈고리손톱
Choice Scarves,Mouchoirs Choix,Wahlschals,Pañuelos Elegidos,Stolescelta,こだわりスカーフ,구애스카프
Sticky Barbs,Piquants,Klettdornen,Toxiestrellas,Vischiopunte,くっつきバリ,끈적끈적바늘
Power Bracers,Poignées Pouvoir,Machtreife,Brazales Recios,Vigorcerchi,パワーリスト,파워리스트
Power Belts,Ceintures Pouvoir,Machtgurte,Cintos Recios,Vigorfasce,パワーベルト,파워벨트
Power Lenses,Lentilles Pouvoir,Machtlinsen,Lentes Recias,Vigorlenti,パワーレンズ,파워렌즈
Power Bands,Bandeaux Pouvoir,Machtbänder,Bandas Recias,Vigorbande,パワーバンド,파워밴드
Power Anklets,Chaînes Pouvoir,Machtketten,Franjas Recias,Vigorgliere,パワーアンクル,파워앵클릿
Power Weights,Poids Pouvoir,Machtgewichte,Pesas Recias,Vigorpesi,パワーウエイト,파워웨이트
Shed Shells,Carapaces Mue,Wechselhüllen,Mudas Concha,Disfogusci,きれいなぬけがら,아름다운허물
Big Roots,Grosses Racines,Großwurzeln,Raíces Grandes,Granradici,おおきなねっこ,큰뿌리
Choice Specs,Lunettes Choix,Wahlgläser,Gafas Elegid,Lentiscelta,こだわりメガネ,구애안경
Flame Plates,Plaques Flamme,Feuertafeln,Tablas Llama,Lastrerogo,ひのたまプレート,불구슬플레이트
Splash Plates,Plaques Hydro,Wassertafeln,Tablas Linfa,Lastreidro,しずくプレート,물방울플레이트
Zap Plates,Plaques Volt,Blitztafeln,Tablas Trueno,Lastresaetta,いかずちプレート,우뢰플레이트
Meadow Plates,Plaques Herbe,Wiesentafeln,Tablas Pradal,Lastreprato,みどりのプレート,초록플레이트
Icicle Plates,Plaques Glace,Frosttafeln,Tablas Heladas,Lastregelo,つららのプレート,고드름플레이트
Fist Plates,Plaques Poing,Fausttafeln,Tablas Fuertes,Lastrepugno,こぶしのプレート,주먹플레이트
Toxic Plates,Plaques Toxik,Gifttafeln,Tablas Tóxicas,Lastrefiele,もうどくプレート,맹독플레이트
Earth Plates,Plaques Terre,Erdtafeln,Tablas Terrax,Lastregeo,だいちのプレート,대지플레이트
Sky Plates,Plaques Ciel,Wolkentafeln,Tablas Cielo,Lastrecielo,あおぞらプレート,푸른하늘플레이트
Mind Plates,Plaques Esprit,Hirntafeln,Tablas Mentales,Lastremente,ふしぎのプレート,이상한플레이트
Insect Plates,Plaques Insecte,Käfertafeln,Tablas Bicho,Lastrebaco,たまむしプレート,비단벌레플레이트
Stone Plates,Plaques Roc,Steintafeln,Tablas Pétreas,Lastrepietra,がんせきプレート,암석플레이트
Spooky Plates,Plaques Fantôme,Spuktafeln,Tablas Terror,Lastretetre,もののけプレート,원령플레이트
Draco Plates,Plaques Draco,Dracotafeln,Tablas Draco,Lastredrakon,りゅうのプレート,용의플레이트
Dread Plates,Plaques Ombre,Furchttafeln,Tablas Oscuras,Lastretimore,こわもてプレート,공포플레이트
Iron Plates,Plaques Fer,Eisentafeln,Tablas Acero,Lastreferro,こうてつプレート,강철플레이트
Odd Incenses,Encens Bizarres,Schrägrauch,Inciensos Raros,Bizzoaromi,あやしいおこう,괴상한향로
Rock Incenses,Encens Roc,Steinrauch,Inciensos Roca,Roccioaromi,がんせきおこう,암석향로
Full Incenses,Encens Pleins,Lahmrauch,Inciensos Lentos,Gonfioaromi,まんぷくおこう,만복향로
Wave Incenses,Encens Vague,Wellenrauch,Inciensos Aqua,Ondaromi,さざなみのおこう,잔물결향로
Rose Incenses,Encens Fleur,Rosenrauch,Inciensos Florales,Rosaromi,おはなのおこう,꽃향로
Luck Incenses,Encens Veine,Glücksrauch,Inciensos Duplo,Fortunaromi,こううんのおこう,행운의향로
Pure Incenses,Encens Purs,Scheuchrauch,Inciensos Puros,Puroaromi,きよめのおこう,순결의향로
Protectors,Protecteurs,Schützer,Protectores,Coperture,プロテクター,프로텍터
Electirizers,Électriseurs,Stromisierer,Electrizadores,Elettritori,エレキブースター,에레키부스터
Magmarizers,Magmariseurs,Magmaisierer,Magmatizadores,Magmatori,マグマブースター,마그마부스터
Dubious Discs,CD Douteux,Dubiosdiscs,Discos Extraños,Dubbiodischi,あやしいパッチ,괴상한패치
Reaper Cloths,Tissus Fauche,Düsterumhänge,Telas Terribles,Terrorpanni,れいかいのぬの,영계의천
Razor Claws,Griffes Rasoir,Scharfklauen,Garras Afiladas,Affilartigli,するどいツメ,예리한손톱
Razor Fangs,Crocs Rasoir,Scharfzähne,Colmillos Agudos,Affilodenti,するどいキバ,예리한이빨
TM01s,CT01,TM01,MT01,MT01,わざマシン０１,기술머신01
TM02s,CT02,TM02,MT02,MT02,わざマシン０２,기술머신02
TM03s,CT03,TM03,MT03,MT03,わざマシン０３,기술머신03
TM04s,CT04,TM04,MT04,MT04,わざマシン０４,기술머신04
TM05s,CT05,TM05,MT05,MT05,わざマシン０５,기술머신05
TM06s,CT06,TM06,MT06,MT06,わざマシン０６,기술머신06
TM07s,CT07,TM07,MT07,MT07,わざマシン０７,기술머신07
TM08s,CT08,TM08,MT08,MT08,わざマシン０８,기술머신08
TM09s,CT09,TM09,MT09,MT09,わざマシン０９,기술머신09
TM10s,CT10,TM10,MT10,MT10,わざマシン１０,기술머신10
TM11s,CT11,TM11,MT11,MT11,わざマシン１１,기술머신11
TM12s,CT12,TM12,MT12,MT12,わざマシン１２,기술머신12
TM13s,CT13,TM13,MT13,MT13,わざマシン１３,기술머신13
TM14s,CT14,TM14,MT14,MT14,わざマシン１４,기술머신14
TM15s,CT15,TM15,MT15,MT15,わざマシン１５,기술머신15
TM16s,CT16,TM16,MT16,MT16,わざマシン１６,기술머신16
TM17s,CT17,TM17,MT17,MT17,わざマシン１７,기술머신17
TM18s,CT18,TM18,MT18,MT18,わざマシン１８,기술머신18
TM19s,CT19,TM19,MT19,MT19,わざマシン１９,기술머신19
TM20s,CT20,TM20,MT20,MT20,わざマシン２０,기술머신20
TM21s,CT21,TM21,MT21,MT21,わざマシン２１,기술머신21
TM22s,CT22,TM22,MT22,MT22,わざマシン２２,기술머신22
TM23s,CT23,TM23,MT23,MT23,わざマシン２３,기술머신23
TM24s,CT24,TM24,MT24,MT24,わざマシン２４,기술머신24
TM25s,CT25,TM25,MT25,MT25,わざマシン２５,기술머신25
TM26s,CT26,TM26,MT26,MT26,わざマシン２６,기술머신26
TM27s,CT27,TM27,MT27,MT27,わざマシン２７,기술머신27
TM28s,CT28,TM28,MT28,MT28,わざマシン２８,기술머신28
TM29s,CT29,TM29,MT29,MT29,わざマシン２９,기술머신29
TM30s,CT30,TM30,MT30,MT30,わざマシン３０,기술머신30
TM31s,CT31,TM31,MT31,MT31,わざマシン３１,기술머신31
TM32s,CT32,TM32,MT32,MT32,わざマシン３２,기술머신32
TM33s,CT33,TM33,MT33,MT33,わざマシン３３,기술머신33
TM34s,CT34,TM34,MT34,MT34,わざマシン３４,기술머신34
TM35s,CT35,TM35,MT35,MT35,わざマシン３５,기술머신35
TM36s,CT36,TM36,MT36,MT36,わざマシン３６,기술머신36
TM37s,CT37,TM37,MT37,MT37,わざマシン３７,기술머신37
TM38s,CT38,TM38,MT38,MT38,わざマシン３８,기술머신38
TM39s,CT39,TM39,MT39,MT39,わざマシン３９,기술머신39
TM40s,CT40,TM40,MT40,MT40,わざマシン４０,기술머신40
TM41s,CT41,TM41,MT41,MT41,わざマシン４１,기술머신41
TM42s,CT42,TM42,MT42,MT42,わざマシン４２,기술머신42
TM43s,CT43,TM43,MT43,MT43,わざマシン４３,기술머신43
TM44s,CT44,TM44,MT44,MT44,わざマシン４４,기술머신44
TM45s,CT45,TM45,MT45,MT45,わざマシン４５,기술머신45
TM46s,CT46,TM46,MT46,MT46,わざマシン４６,기술머신46
TM47s,CT47,TM47,MT47,MT47,わざマシン４７,기술머신47
TM48s,CT48,TM48,MT48,MT48,わざマシン４８,기술머신48
TM49s,CT49,TM49,MT49,MT49,わざマシン４９,기술머신49
TM50s,CT50,TM50,MT50,MT50,わざマシン５０,기술머신50
TM51s,CT51,TM51,MT51,MT51,わざマシン５１,기술머신51
TM52s,CT52,TM52,MT52,MT52,わざマシン５２,기술머신52
TM53s,CT53,TM53,MT53,MT53,わざマシン５３,기술머신53
TM54s,CT54,TM54,MT54,MT54,わざマシン５４,기술머신54
TM55s,CT55,TM55,MT55,MT55,わざマシン５５,기술머신55
TM56s,CT56,TM56,MT56,MT56,わざマシン５６,기술머신56
TM57s,CT57,TM57,MT57,MT57,わざマシン５７,기술머신57
TM58s,CT58,TM58,MT58,MT58,わざマシン５８,기술머신58
TM59s,CT59,TM59,MT59,MT59,わざマシン５９,기술머신59
TM60s,CT60,TM60,MT60,MT60,わざマシン６０,기술머신60
TM61s,CT61,TM61,MT61,MT61,わざマシン６１,기술머신61
TM62s,CT62,TM62,MT62,MT62,わざマシン６２,기술머신62
TM63s,CT63,TM63,MT63,MT63,わざマシン６３,기술머신63
TM64s,CT64,TM64,MT64,MT64,わざマシン６４,기술머신64
TM65s,CT65,TM65,MT65,MT65,わざマシン６５,기술머신65
TM66s,CT66,TM66,MT66,MT66,わざマシン６６,기술머신66
TM67s,CT67,TM67,MT67,MT67,わざマシン６７,기술머신67
TM68s,CT68,TM68,MT68,MT68,わざマシン６８,기술머신68
TM69s,CT69,TM69,MT69,MT69,わざマシン６９,기술머신69
TM70s,CT70,TM70,MT70,MT70,わざマシン７０,기술머신70
TM71s,CT71,TM71,MT71,MT71,わざマシン７１,기술머신71
TM72s,CT72,TM72,MT72,MT72,わざマシン７２,기술머신72
TM73s,CT73,TM73,MT73,MT73,わざマシン７３,기술머신73
TM74s,CT74,TM74,MT74,MT74,わざマシン７４,기술머신74
TM75s,CT75,TM75,MT75,MT75,わざマシン７５,기술머신75
TM76s,CT76,TM76,MT76,MT76,わざマシン７６,기술머신76
TM77s,CT77,TM77,MT77,MT77,わざマシン７７,기술머신77
TM78s,CT78,TM78,MT78,MT78,わざマシン７８,기술머신78
TM79s,CT79,TM79,MT79,MT79,わざマシン７９,기술머신79
TM80s,CT80,TM80,MT80,MT80,わざマシン８０,기술머신80
TM81s,CT81,TM81,MT81,MT81,わざマシン８１,기술머신81
TM82s,CT82,TM82,MT82,MT82,わざマシン８２,기술머신82
TM83s,CT83,TM83,MT83,MT83,わざマシン８３,기술머신83
TM84s,CT84,TM84,MT84,MT84,わざマシン８４,기술머신84
TM85s,CT85,TM85,MT85,MT85,わざマシン８５,기술머신85
TM86s,CT86,TM86,MT86,MT86,わざマシン８６,기술머신86
TM87s,CT87,TM87,MT87,MT87,わざマシン８７,기술머신87
TM88s,CT88,TM88,MT88,MT88,わざマシン８８,기술머신88
TM89s,CT89,TM89,MT89,MT89,わざマシン８９,기술머신89
TM90s,CT90,TM90,MT90,MT90,わざマシン９０,기술머신90
TM91s,CT91,TM91,MT91,MT91,わざマシン９１,기술머신91
TM92s,CT92,TM92,MT92,MT92,わざマシン９２,기술머신92
HM01s,CS01,VM01,MO01,MN01,ひでんマシン０１,비전머신01
HM02s,CS02,VM02,MO02,MN02,ひでんマシン０２,비전머신02
HM03s,CS03,VM03,MO03,MN03,ひでんマシン０３,비전머신03
HM04s,CS04,VM04,MO04,MN04,ひでんマシン０４,비전머신04
HM05s,CS05,VM05,MO05,MN05,ひでんマシン０５,비전머신05
HM06s,CS06,VM06,MO06,MN06,ひでんマシン０６,비전머신06
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
Explorer Kits,Explorakits,Forschersäcke,Kits Explorador,Esplorokit,たんけんセット,탐험세트
Loot Sacks,Sacs Butin,Beutesäcke,Sacas Botín,Bottinosacche,たからぶくろ,보물주머니
Rule Books,Livres Règles,Regelbücher,Reglamentos,Libri Regole,ルールブック,룰북
Poké Radars,Poké Radars,Pokéradare,Pokéradares,Poké Radar,ポケトレ,포켓트레
Point Cards,Cartes Points,Punktekarten,Tarjetas Puntos,Schede Punti,ポイントカード,포인트카드
Journals,Journaux,Tagebücher,Diarios,Agende,ぼうけんノート,모험노트
Seal Cases,Boîtes Sceaux,Stickerkoffer,Cajas Sellos,Portabolli,シールいれ,실상자
Fashion Cases,Coffrets Mode,Modekoffer,Cajas Corazón,Scatole Chic,アクセサリーいれ,액세서리상자
Seal Bags,Sacs Sceaux,Stickertüten,Bolsas Sellos,Bollosacche,シールぶくろ,실주머니
Pal Pads,Registres Ami,Adressbücher,Blocs amigos,Blocchi Amici,ともだちてちょう,친구수첩
Works Keys,Clés Centrale,K-Schlüssel,Llaves Central,Turbinchiavi,はつでんしょキー,발전소키
Old Charms,Vieux Grigris,Talismane,Talismanes,Arcamuleti,こだいのおまもり,고대의부적
Galactic Keys,Clés Galaxie,G-Schlüssel,Llaves Galaxia,Galachiavi,ギンガだんのカギ,갤럭시단의열쇠
Red Chains,Chaînes Rouges,Rote Ketten,Cadenas Rojas,Rossocatene,あかいくさり,빨강쇠사슬
Town Maps,Cartes,Karten,Mapas,Mappe Città,タウンマップ,타운맵
Vs. Seekers,Cherche VS,Kampffahnder,Buscapeleas,Cercasfide,バトルサーチャー,배틀서처
Coin Cases,Boîtes Jetons,Münzkörbe,Monederos,Salvadanai,コインケース,동전케이스
Old Rods,Cannes,Angeln,Cañas Viejas,Ami Vecchi,ボロのつりざお,낡은낚싯대
Good Rods,Super Cannes,Profiangeln,Cañas Buenas,Ami Buoni,いいつりざお,좋은낚싯대
Super Rods,Méga Cannes,Superangeln,Supercañas,Super Ami,すごいつりざお,대단한낚싯대
Sprayducks,Kwakarrosoirs,Entonkannen,Psydugaderas,Sprayduck,コダックじょうろ,고라파덕물뿌리개
Poffin Cases,Boîtes Poffin,Knurspboxen,Pokocheras,Portapoffin,ポフィンケース,포핀케이스
Bikes,Bicyclettes,Fahrräder,Bicis,Biciclette,じてんしゃ,자전거
Suite Keys,Clés Chambre,B-Schlüssel,Llaves Suite,Chiavi Suite,ルームキー,룸키
Oak’s Letters,Lettres Chen,Eichs Briefe,Cartas Prof. Oak,Lettere Oak,オーキドのてがみ,오박사의편지
Lunar Wings,Lun’Ailes,Lunarfedern,Plumas Lunares,Alilunari,みかづきのはね,초승달날개
Member Cards,Cartes Membre,Mitgliedskarten,Carnés Socio,Schede Soci,メンバーズカード,멤버스카드
Azure Flutes,Flûtes Azur,Azurflöten,Flautas Azur,Flauti Cielo,てんかいのふえ,천계의피리
S.S. Tickets,Passes Bateau,Bootstickets,Tickets Barco,Biglietti Nave,ふねのチケット,승선티켓
Contest Passes,Passes Concours,Wettbewerbskarten,Pases Concurso,Tessere Gare,コンテストパス,콘테스트패스
Magma Stones,Pierres Magma,Magmasteine,Piedras Magma,Magmapietre,かざんのおきいし,화산의돌
Parcels,Colis,Pakete,Paquetes,Pacchi,おとどけもの,전해줄물건
Coupon 1s,Bons 1,Kupons 1,Cupones 1,Coupon 1,ひきかえけん１,교환권1
Coupon 2s,Bons 2,Kupons 2,Cupones 2,Coupon 2,ひきかえけん２,교환권2
Coupon 3s,Bons 3,Kupons 3,Cupones 3,Coupon 3,ひきかえけん３,교환권3
Storage Keys,Clés Stockage,Lagerschlüssel,Llaves Almacén,Depochiavi,そうこのカギ,창고열쇠
Secret Potions,Potions Secrètes,Geheimtränke,Pociones Secretas,Pozioni Segrete,ひでんのくすり,비전신약
Vs. Recorders,Magnétos VS,Kampfkameras,Cámaras Lucha,Registradati,バトルレコーダー,배틀레코더
Gracideas,Gracidées,Gracidea,Gracídeas,Gracidee,グラシデアのはな,그라시데아꽃
Secret Keys,Clés Secrètes,?-Öffner,Llaves Secretas,Chiavi Segrete,ひみつのカギ,비밀의열쇠
Apricorn Boxes,Boîtes Noigrume,Aprikokoboxen,Cajas Bonguri,Ghicobox,ぼんぐりケース,규토리케이스
Unown Reports,Carnets Zarbi,Icognitohefte,Blocs Unown,UnownBloc,アンノーンノート,안농노트
Berry Pots,Plante-Baies,Pflanzsets,Plantabayas,Piantabacche,きのみプランター,나무열매플랜터
Dowsing Machines,Cherch’Objets,Itemradare,Zahoríes,Ricerca Strum.,ダウジングマシン,다우징머신
Blue Cards,Cartes Bleues,Blaue Karten,Tarjetas Azules,Carte Blu,ブルーカード,블루카드
Slowpoke Tails,Queues Ramoloss,Flegmon-Ruten,Colas Slowpoke,Code Slowpoke,おいしいシッポ,맛있는꼬리
Clear Bells,Glas Transparents,Klarglocken,Campanas Claras,Campane Chiare,とうめいなスズ,크리스탈방울
Card Keys,Cartes Magnétiques,Türöffner,Llaves Magnéticas,Apriporta,カードキー,카드키
Basement Keys,Clés Sous-Sol,Kelleröffner,Llaves Sótano,Chiavi sotterr.,ちかのかぎ,지하의열쇠
Squirt Bottles,Carapuce à O,Schiggykannen,Regaderas,Annaffiatoi,ゼニガメじょうろ,꼬부기물뿌리개
Red Scales,Écaillerouges,Rote Häute,Escamas Rojas,Squame Rosse,あかいウロコ,빨간비늘
Lost Items,Objets perdus,Fundsachen,Objetos Perdidos,Strumenti persi,おとしもの,분실물
Passes,Passes Train,Fahrscheine,Magnetopases,Superpass,リニアパス,리니어패스
Machine Parts,Parties Machine,Spulen,Maquinarias,Pezzi macch.,きかいのぶひん,기계부품
Silver Wings,Argent’Ailes,Silberflügel,Alas Plateadas,Alidargento,ぎんいろのはね,은빛날개
Rainbow Wings,Arc-en-Ci’Ailes,Buntschwingen,Alas Arcoíris,Ali d’Iride,にじいろのはね,무지갯빛날개
Mystery Eggs,Œufs Mystère,Rätsel-Eier,Huevos Misteriosos,Uovo Mistero,ふしぎなタマゴ,이상한알
Red Apricorns,Noigrumes Rouges,Aprikokos Rot,Bonguris Rojos,Ghicocche Rosse,あかぼんぐり,빨간규토리
Blue Apricorns,Noigrumes Bleus,Aprikokos Blu,Bonguris Azules,Ghicocche Blu,あおぼんぐり,파란규토리
Yellow Apricorns,Noigrumes Jaunes,Aprikokos Glb,Bonguris Amarillos,Ghicocche Gialle,きぼんぐり,노랑규토리
Green Apricorns,Noigrumes Verts,Aprikokos Grn,Bonguris Verdes,Ghicocche Verdi,みどぼんぐり,초록규토리
Pink Apricorns,Noigrumes Roses,Aprikokos Pnk,Bonguris Rosas,Ghicocche Rosa,ももぼんぐり,담홍규토리
White Apricorns,Noigrumes Blancs,Aprikokos Wss,Bonguris Blancos,Ghicocche Bianche,しろぼんぐり,하얀규토리
Black Apricorns,Noigrumes Noirs,Aprikokos Swz,Bonguris Negros,Ghicocche Nere,くろぼんぐり,검은규토리
Fast Balls,Speed Balls,Turbobälle,Rapid Balls,Rapid Ball,スピードボール,스피드볼
Level Balls,Niveau Balls,Levelbälle,Nivel Balls,Level Ball,レベルボール,레벨볼
Lure Balls,Appât Balls,Köderbälle,Cebo Balls,Esca Ball,ルアーボール,루어볼
Heavy Balls,Masse Balls,Schwerbälle,Peso Balls,Peso Ball,ヘビーボール,헤비볼
Love Balls,Love Balls,Sympabälle,Amor Balls,Love Ball,ラブラブボール,러브러브볼
Friend Balls,Copain Balls,Freundesbälle,Amigo Balls,Friend Ball,フレンドボール,프렌드볼
Moon Balls,Lune Balls,Mondbälle,Luna Balls,Luna Ball,ムーンボール,문볼
Sport Balls,Compét’Balls,Turnierbälle,Competi Balls,Gara Ball,コンペボール,콤페볼
Park Balls,Parc Balls,Parkbälle,Parque Balls,Parco Ball,パークボール,파크볼
Photo Albums,Albums Photo,Fotoalben,Álbumes,Album,フォトアルバム,포토앨범
GB Sounds,Lecteurs GB,GB-Player,Lectores GB,Lettori GB,ＧＢプレイヤー,GB플레이어
Tidal Bells,Glas Tempête,Gischtglocken,Campanas Oleaje,Campane Onda,うみなりのスズ,해명의방울
Rage Candy Bars,Bonbons Rage,Wutkekse,Caramelos Furia,Iramelle,いかりまんじゅう,분노의호두과자
Data Card 01s,Cartes Mémo01,Datenkarten01,Tarjetas Datos 01,Schede Dati 01,データカード０１,데이터카드01
Data Card 02s,Cartes Mémo02,Datenkarten02,Tarjetas Datos 02,Schede Dati 02,データカード０２,데이터카드02
Data Card 03s,Cartes Mémo03,Datenkarten03,Tarjetas Datos 03,Schede Dati 03,データカード０３,데이터카드03
Data Card 04s,Cartes Mémo04,Datenkarten04,Tarjetas Datos 04,Schede Dati 04,データカード０４,데이터카드04
Data Card 05s,Cartes Mémo05,Datenkarten05,Tarjetas Datos 05,Schede Dati 05,データカード０５,데이터카드05
Data Card 06s,Cartes Mémo06,Datenkarten06,Tarjetas Datos 06,Schede Dati 06,データカード０６,데이터카드06
Data Card 07s,Cartes Mémo07,Datenkarten07,Tarjetas Datos 07,Schede Dati 07,データカード０７,데이터카드07
Data Card 08s,Cartes Mémo08,Datenkarten08,Tarjetas Datos 08,Schede Dati 08,データカード０８,데이터카드08
Data Card 09s,Cartes Mémo09,Datenkarten09,Tarjetas Datos 09,Schede Dati 09,データカード０９,데이터카드09
Data Card 10s,Cartes Mémo10,Datenkarten10,Tarjetas Datos 10,Schede Dati 10,データカード１０,데이터카드10
Data Card 11s,Cartes Mémo11,Datenkarten11,Tarjetas Datos 11,Schede Dati 11,データカード１１,데이터카드11
Data Card 12s,Cartes Mémo12,Datenkarten12,Tarjetas Datos 12,Schede Dati 12,データカード１２,데이터카드12
Data Card 13s,Cartes Mémo13,Datenkarten13,Tarjetas Datos 13,Schede Dati 13,データカード１３,데이터카드13
Data Card 14s,Cartes Mémo14,Datenkarten14,Tarjetas Datos 14,Schede Dati 14,データカード１４,데이터카드14
Data Card 15s,Cartes Mémo15,Datenkarten15,Tarjetas Datos 15,Schede Dati 15,データカード１５,데이터카드15
Data Card 16s,Cartes Mémo16,Datenkarten16,Tarjetas Datos 16,Schede Dati 16,データカード１６,데이터카드16
Data Card 17s,Cartes Mémo17,Datenkarten17,Tarjetas Datos 17,Schede Dati 17,データカード１７,데이터카드17
Data Card 18s,Cartes Mémo18,Datenkarten18,Tarjetas Datos 18,Schede Dati 18,データカード１８,데이터카드18
Data Card 19s,Cartes Mémo19,Datenkarten19,Tarjetas Datos 19,Schede Dati 19,データカード１９,데이터카드19
Data Card 20s,Cartes Mémo20,Datenkarten20,Tarjetas Datos 20,Schede Dati 20,データカード２０,데이터카드20
Data Card 21s,Cartes Mémo21,Datenkarten21,Tarjetas Datos 21,Schede Dati 21,データカード２１,데이터카드21
Data Card 22s,Cartes Mémo22,Datenkarten22,Tarjetas Datos 22,Schede Dati 22,データカード２２,데이터카드22
Data Card 23s,Cartes Mémo23,Datenkarten23,Tarjetas Datos 23,Schede Dati 23,データカード２３,데이터카드23
Data Card 24s,Cartes Mémo24,Datenkarten24,Tarjetas Datos 24,Schede Dati 24,データカード２４,데이터카드24
Data Card 25s,Cartes Mémo25,Datenkarten25,Tarjetas Datos 25,Schede Dati 25,データカード２５,데이터카드25
Data Card 26s,Cartes Mémo26,Datenkarten26,Tarjetas Datos 26,Schede Dati 26,データカード２６,데이터카드26
Data Card 27s,Cartes Mémo27,Datenkarten27,Tarjetas Datos 27,Schede Dati 27,データカード２７,데이터카드27
Jade Orbs,Orbes Verts,Grüne Kugeln,Esferas Verdes,Sfere Verdi,もえぎいろのたま,연둣빛구슬
Lock Capsules,Poké Écrins,Tresorkapseln,Cápsulas Candado,Capsule Scrigno,ロックカプセル,록캡슐
Red Orbs,Gemmes Rouges,Rote Edelsteine,Prismas Rojos,Gemme rosse,べにいろのたま,주홍구슬
Blue Orbs,Gemmes Bleues,Blaue Edelsteine,Prismas Azules,Gemme blu,あいいろのたま,쪽빛구슬
Enigma Stones,Mystécristaux,Mytokristalle,Misticristales,Misticristal,なぞのすいしょう,수수께끼의수정
Prism Scales,Bel’Écailles,Schönschuppen,Escamas Bellas,Squame Belle,きれいなウロコ,고운비늘
Eviolites,Évolurocs,Evolithen,Minerales Evol,Evolcondense,しんかのきせき,진화의휘석
Float Stones,Pierrallégées,Leichtsteine,Piedras Pómez,Pietrelievi,かるいし,가벼운돌
Rocky Helmets,Casques Bruts,Beulenhelme,Cascos Dentados,Bitorzolelmi,ゴツゴツメット,울퉁불퉁멧
Air Balloons,Ballons,Luftballons,Globos Helio,Palloncini,ふうせん,풍선
Red Cards,Cartons Rouges,Rote Karten,Tarjetas Rojas,Cartelrossi,レッドカード,레드카드
Ring Targets,Points de Mire,Zielscheiben,Blancos,Facilsagli,ねらいのまと,겨냥표적
Binding Bands,Bandes Étreinte,Klammerbänder,Bandas Atadura,Legafasce,しめつけバンド,조임밴드
Absorb Bulbs,Bulbes,Knollen,Tubérculos,Bulbi,きゅうこん,구근
Cell Batteries,Piles,Akkus,Pilas,Ricaripile,じゅうでんち,충전지
Eject Buttons,Boutons Fuite,Fluchtknöpfe,Botones Escape,Pulsantifuga,だっしゅつボタン,탈출버튼
Fire Gems,Joyaux Feu,Feuerjuwelen,Gemas Fuego,Bijoufuoco,ほのおのジュエル,불꽃주얼
Water Gems,Joyaux Eau,Wasserjuwelen,Gemas Agua,Bijouacqua,みずのジュエル,물주얼
Electric Gems,Joyaux Électrik,Elektrojuwelen,Gemas Eléctricas,Bijouelettro,でんきのジュエル,전기주얼
Grass Gems,Joyaux Plante,Pflanzenjuwelen,Gemas Planta,Bijouerba,くさのジュエル,풀주얼
Ice Gems,Joyaux Glace,Eisjuwelen,Gemas Hielo,Bijoughiaccio,こおりのジュエル,얼음주얼
Fighting Gems,Joyaux Combat,Kampfjuwelen,Gemas Lucha,Bijoulotta,かくとうジュエル,격투주얼
Poison Gems,Joyaux Poison,Giftjuwelen,Gemas Veneno,Bijouveleno,どくのジュエル,독주얼
Ground Gems,Joyaux Sol,Bodenjuwelen,Gemas Tierra,Bijouterra,じめんのジュエル,땅주얼
Flying Gems,Joyaux Vol,Flugjuwelen,Gemas Voladoras,Bijouvolante,ひこうのジュエル,비행주얼
Psychic Gems,Joyaux Psy,Psychojuwelen,Gemas Psíquicas,Bijoupsico,エスパージュエル,에스퍼주얼
Bug Gems,Joyaux Insecte,Käferjuwelen,Gemas Bicho,Bijoucoleottero,むしのジュエル,벌레주얼
Rock Gems,Joyaux Roche,Gesteinsjuwelen,Gemas Roca,Bijouroccia,いわのジュエル,바위주얼
Ghost Gems,Joyaux Spectre,Geisterjuwelen,Gemas Fantasma,Bijouspettro,ゴーストジュエル,고스트주얼
Dragon Gems,Joyaux Dragon,Drakojuwelen,Gemas Dragón,Bijoudrago,ドラゴンジュエル,드래곤주얼
Dark Gems,Joyaux Ténèbres,Unlichtjuwelen,Gemas Siniestras,Bijoubuio,あくのジュエル,악주얼
Steel Gems,Joyaux Acier,Stahljuwelen,Gemas Acero,Bijouacciaio,はがねのジュエル,강철주얼
Normal Gems,Joyaux Normal,Normaljuwelen,Gemas Normales,Bijounormale,ノーマルジュエル,노말주얼
